Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08128138;Ahorn;273;292;955;1.228;565
08128139;Lauda-Königshofen, Stadt;2.694;3.200;4.787;7.481;5.894
08135010;Dischingen;983;1.271;1.381;2.364;2.254
08135015;Gerstetten;2.301;1.904;3.821;6.122;4.205
08135016;Giengen an der Brenz, Stadt;3.867;5.242;5.764;9.631;9.109
08135019;Heidenheim an der Brenz, Stadt;13.952;16.608;9.591;23.543;30.560
08135020;Herbrechtingen, Stadt;2.202;3.948;4.651;6.853;6.150
08135021;Hermaringen;199;587;835;1.034;786
08135025;Königsbronn;749;823;2.719;3.468;1.572
08135026;Nattheim;595;986;2.565;3.160;1.581
08135027;Niederstotzingen, Stadt;658;649;1.856;2.514;1.307
08135031;Sontheim an der Brenz;923;1.358;2.020;2.943;2.281
08135032;Steinheim am Albuch;1.211;1.988;3.233;4.444;3.199
08136002;Abtsgmünd;1.365;1.928;2.745;4.110;3.293
08136003;Adelmannsfelden;180;164;719;899;344
08136007;Bartholomä;332;255;832;1.164;587
08136009;Böbingen an der Rems;405;616;2.007;2.412;1.021
08136010;Bopfingen, Stadt;2.631;2.672;3.430;6.061;5.303
08136015;Durlangen;235;220;1.248;1.483;455
08136018;Ellenberg;132;157;861;993;289
08136019;Ellwangen (Jagst), Stadt;7.419;8.163;5.222;12.641;15.582
08136020;Eschach;223;361;774;997;584
08136021;Essingen;835;2.189;2.698;3.533;3.024
08136024;Göggingen;166;250;1.226;1.392;416
08136027;Gschwend;773;421;1.914;2.687;1.194
08136028;Heubach, Stadt;1.678;2.604;3.506;5.184;4.282
08136029;Heuchlingen;155;158;852;1.007;313
08136033;Hüttlingen;565;956;2.744;3.309;1.521
08136034;Iggingen;183;486;1.280;1.463;669
08136035;Jagstzell;270;270;1.021;1.291;540
08136037;Kirchheim am Ries;233;191;817;1.050;424
08136038;Lauchheim, Stadt;614;1.048;1.928;2.542;1.662
08136040;Leinzell;174;242;948;1.122;416
08136042;Lorch, Stadt;1.764;2.332;4.076;5.840;4.096
08136043;Mögglingen;392;611;1.898;2.290;1.003
08136044;Mutlangen;800;2.477;2.633;3.433;3.277
08136045;Neresheim, Stadt;1.500;1.156;2.835;4.335;2.656
08136046;Neuler;424;499;1.429;1.853;923
08136049;Obergröningen;37;13;191;228;50
08136050;Oberkochen, Stadt;1.664;7.319;2.151;3.815;8.983
08136060;Rosenberg;421;816;1.080;1.501;1.237
08136061;Ruppertshofen;178;287;830;1.008;465
08136062;Schechingen;191;238;1.087;1.278;429
08136065;Schwäbisch Gmünd, Stadt;18.530;20.071;11.871;30.401;38.601
08136066;Spraitbach;290;295;1.503;1.793;585
08136068;Stödtlen;251;200;832;1.083;451
08136070;Täferrot;65;60;487;552;125
08136071;Tannhausen;267;265;657;924;532
08136075;Unterschneidheim;721;583;1.842;2.563;1.304
